iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
33,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04991655682311817,0.06996510296321463,0.0003596046907934127,1.0235865675210792e-05
34,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04986059133454525,0.06949447937613057,0.0003407498533944008,9.654443727852318e-06
35,0.8933333333333333,0.1534781924429512,1.0,0.0,0.0492230633838777,0.06897732671394328,0.0003269391262016179,1.1643824358044777e-05
36,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04827632080127166,0.06822148531684624,0.00031287092025329157,1.665047418704769e-05
37,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04875365841587218,0.06868177059872929,0.0003040942752908689,2.0909229980456658e-05
38,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048749185317242656,0.06868294174676873,0.0003003164599161883,2.4796953005982764e-05
39,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04874357140002692,0.06868491773776299,0.00029623425298703744,1.7335757449459876e-05
40,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04873974848651542,0.06868568303032112,0.0002932880863786149,1.3321657751682002e-05
41,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04873694822524754,0.06868794588877515,0.00029059481412771867,1.1785313613647367e-05
42,0.8933333333333333,0.1534781924429512,1.0,0.0,0.0487341081988838,0.06868698587537658,0.00028913387719506963,1.2865337199028854e-05
43,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048734232140197106,0.06868715811941951,0.00028911176610563254,1.2878691583926958e-05
44,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048735047322666564,0.06868790565997282,0.0002890976105753561,1.2873761512586725e-05
45,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04873488810940661,0.06868778477382324,0.00028908725291326156,1.2875319317054162e-05
46,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04873098971535397,0.06869096055636528,0.0002857310020085977,1.1924937288767099e-05
47,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04873083909376556,0.06869083210420344,0.0002857293847698031,1.1924020565206384e-05
48,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048728816406664634,0.06869235449001597,0.0002840569254537427,1.3132956988382953e-05
